ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_319267_836067,319267.39140000,836066.64620000,BMP,4193425,2443,MAIN STREET,,,,,,,,02631,,BREWSTER,BREWSTER,MA,,2443,2443,,,,,,,,,MAIN,STREET,ST,,,107356,,43,41,41,2015-01-22,-70.06562355777103,41.765861555627644,010800
M_315826_834616,315825.60200000,834615.68680000,BC,2278284,1123,MAIN STREET,,,,,,,,02631,,BREWSTER,BREWSTER,MA,,1123,1123,,,,,,,,,MAIN,STREET,ST,,,107356,,43,41,41,2014-02-18,-70.10729387489744,41.75331315771338,010800
M_314592_832501,314592.43940000,832501.23380000,BC,2279932,56,CARSONS WAY,,,,,,,,02631,,BREWSTER,BREWSTER,MA,,56,56,,,,,,,,,CARSONS,WAY,WAY,,,107111,,43,41,41,2014-02-18,-70.12252958517861,41.734458469871576,010800
M_318144_833704,318143.94960000,833703.69480000,BC,2280139,631,HARWICH ROAD,,,BREWSTER POLICE DEPT,,,,,02631,,BREWSTER,BREWSTER,MA,,631,631,,,,,,,,,HARWICH,ROAD,RD,,,90848,,43,41,41,2014-02-18,-70.07960537846797,41.74475896413098,010800
M_317711_834158,317710.63840000,834158.48460000,BMP,2282217,477,TUBMAN ROAD,,,,,,,,02631,,BREWSTER,BREWSTER,MA,,477,477,,,,,,,,,TUBMAN,ROAD,RD,,,106974,,43,41,41,2014-02-18,-70.0847232221232,41.74891794605182,010800
M_317359_832864,317358.72180000,832863.99380000,BC,2284578,79,HARMONY LANE,,,,,,,,02631,,BREWSTER,BREWSTER,MA,,79,79,,,,,,,,,HARMONY,LANE,LN,,,107269,,43,41,41,2014-02-18,-70.08921107314455,41.737317080783185,010800
M_317105_833831,317104.99480000,833831.39980000,BMP,2284151,280,TUBMAN ROAD,,,,,,,,02631,,BREWSTER,BREWSTER,MA,,280,280,,,,,,,,,TUBMAN,ROAD,RD,,,106974,,43,41,41,2014-02-18,-70.09206867211986,41.74606367950686,010800
M_321605_833239,321605.25180000,833238.55080000,BC,2283480,8,WHITE OAK TRAIL,,,,,,,,02631,,BREWSTER,BREWSTER,MA,,8,8,,,,,,,,,WHITE OAK,TRAIL,TRL,,,107572,,43,41,41,2014-02-18,-70.03809547986816,41.740045121254354,010900
M_321071_832050,321071.22980000,832050.32300000,BMP,2281883,21,MORNING STAR CARTWAY,,,,,,,,02631,,BREWSTER,BREWSTER,MA,,21,21,,,,,,,,,MORNING STAR,CARTWAY,CRTWY,,,107381,,43,41,41,2014-02-18,-70.04475778127933,41.72943068420804,010900
M_321184_832245,321184.41600000,832245.39320000,BC,2282230,49,TWINTURN DRIVE,,,,,,,,02631,,BREWSTER,BREWSTER,MA,,49,49,,,,,,,,,TWINTURN,DRIVE,DR,,,106977,,43,41,41,2014-02-18,-70.04335754174383,41.731169350273674,010900
M_319183_834378,319182.97300000,834378.05080000,BC,2280306,32,MOUNT PLEASANT ROAD,,,,,,,,02631,,BREWSTER,BREWSTER,MA,,32,32,,,,,,,,,MOUNT PLEASANT,ROAD,RD,,,107383,,43,41,41,2014-02-18,-70.06697978299712,41.75067321314205,010900
M_320189_836022,320189.79700000,836022.05620000,BC,2284897,151,VILLAGES DRIVE,,THE VILLAGES AT OCEAN EDGE RESORT & GOLF CLUB,,,D,,,02631,,BREWSTER,BREWSTER,MA,,151,151,,,,,,,,,VILLAGES,DRIVE,DR,,,106985,21141,43,41,41,2015-09-22,-70.0545413939241,41.76531995560725,010900
M_319848_833257,319847.80020000,833257.00620000,BC,2282414,979,CROWELLS BOG ROAD,,,,,,,,02631,,BREWSTER,BREWSTER,MA,,979,979,,,,,,,,,CROWELLS BOG,ROAD,RD,,,107160,,43,41,41,2014-02-18,-70.05921527892615,41.740480485717846,010900
M_317666_834476,317666.12840000,834475.95420000,BC,2277188,11,GREAT OAK ROAD,,,,,,,,02631,,BREWSTER,BREWSTER,MA,,11,11,,,,,,,,,GREAT OAK,ROAD,RD,,,107258,,43,41,41,2014-02-18,-70.08519497588416,41.75178253845098,010800
M_317513_831732,317513.09640000,831732.04520000,BMP,2279549,205,TRACY LANE,,,,,,,,02631,,BREWSTER,BREWSTER,MA,,205,205,,,,,,,,,TRACY,LANE,LN,,,106969,,43,41,41,2014-02-18,-70.08758095296002,41.72710396857064,010800
M_320189_836022,320189.79700000,836022.05620000,BC,2284905,153,VILLAGES DRIVE,,THE VILLAGES AT OCEAN EDGE RESORT & GOLF CLUB,,,D,,,02631,,BREWSTER,BREWSTER,MA,,153,153,,,,,,,,,VILLAGES,DRIVE,DR,,,106985,21141,43,41,41,2015-09-22,-70.0545413939241,41.76531995560725,010900
M_320189_836022,320189.79700000,836022.05620000,BC,2284911,155,VILLAGES DRIVE,,THE VILLAGES AT OCEAN EDGE RESORT & GOLF CLUB,,,A,,,02631,,BREWSTER,BREWSTER,MA,,155,155,,,,,,,,,VILLAGES,DRIVE,DR,,,106985,21141,43,41,41,2015-09-22,-70.0545413939241,41.76531995560725,010900
M_320189_836022,320189.79700000,836022.05620000,BC,2284923,157,VILLAGES DRIVE,,THE VILLAGES AT OCEAN EDGE RESORT & GOLF CLUB,,,E,,,02631,,BREWSTER,BREWSTER,MA,,157,157,,,,,,,,,VILLAGES,DRIVE,DR,,,106985,21141,43,41,41,2015-09-22,-70.0545413939241,41.76531995560725,010900
M_320836_833201,320836.06880000,833200.73580000,BC,2282103,36,SHEFFIELD ROAD,,,,,,,,02631,,BREWSTER,BREWSTER,MA,,36,36,,,,,,,,,SHEFFIELD,ROAD,RD,,,106900,,43,41,41,2014-02-18,-70.04734833182226,41.73982301680044,010900
M_319680_836793,319679.52140000,836793.35580000,BC,2279007,74,SKIPPERS WAY,,,,,,,,02631,,BREWSTER,BREWSTER,MA,,74,74,,,,,,,,,SKIPPERS,WAY,WAY,,,106908,,43,41,41,2014-02-18,-70.06052050932438,41.77234104516312,010800
M_320517_833374,320516.80660000,833374.02500000,BC,2277876,49,OLD FREEMANS WAY,,,,,,,,02631,,BREWSTER,BREWSTER,MA,,49,49,,,,,,,,,OLD FREEMANS,WAY,WAY,,,107419,,43,41,41,2014-02-18,-70.0511502757564,41.74143188910792,010900
M_317577_832195,317577.30420000,832194.90580000,BMP,2279188,34,LAKE SHORE DRIVE,,,,,,,,02631,,BREWSTER,BREWSTER,MA,,34,34,,,,,,,,,LAKE SHORE,DRIVE,DR,,,107330,,43,41,41,2014-02-18,-70.0867171949952,41.73126119052704,010800
M_323656_837014,323656.08460000,837013.59160000,BC,2281779,17,MAYFLOWER CIRCLE,,,,,,,,02631,,BREWSTER,BREWSTER,MA,,17,17,,,,,,,,,MAYFLOWER,CIRCLE,CIR,,,107371,,43,41,41,2014-02-18,-70.01265461666053,41.77370940824512,010900
M_321259_834086,321259.17340000,834086.28660000,BMP,2278440,179,COMMONS WAY,,,,,,,,02631,,BREWSTER,BREWSTER,MA,,179,179,,,,,,,,,COMMONS,WAY,WAY,,,107138,,43,41,41,2014-02-18,-70.04208095030836,41.74772992387668,010900
M_318811_835271,318810.55380000,835271.15800000,BC,2283979,236,YANKEE DRIVE,,,,,,,,02631,,BREWSTER,BREWSTER,MA,,236,236,,,,,,,,,YANKEE,DRIVE,DR,,,107596,,43,41,41,2014-02-18,-70.07127694659188,41.75876941804731,010800
M_315792_835464,315791.81720000,835464.43220000,BMP,2276685,36,ARNOLDS CARTWAY,,,,,,,,02631,,BREWSTER,BREWSTER,MA,,36,36,,,,,,,,,ARNOLDS,CARTWAY,CRTWY,,,107014,,43,41,41,2014-02-18,-70.10753344638947,41.76095878298605,010800
M_321851_833200,321850.87020000,833200.29720000,BC,2280034,503,FREEMANS WAY,,,,,,,,02631,,BREWSTER,BREWSTER,MA,,503,503,,,,,,,,,FREEMANS,WAY,WAY,,,107235,,43,41,41,2014-02-18,-70.03515120070152,41.73966281713645,010900
M_318459_835150,318459.46100000,835150.13360000,BC,2278627,213,BOG POND ROAD,,,,,,,,02631,,BREWSTER,BREWSTER,MA,,213,213,,,,,,,,,BOG POND,ROAD,RD,,,107060,,43,41,41,2014-02-18,-70.07552243120695,41.75773279474995,010800
M_317459_832964,317458.61560000,832963.97180000,BC,2280702,160,DAMON ROAD,,,,,,,,02631,,BREWSTER,BREWSTER,MA,,160,160,,,,,,,,,DAMON,ROAD,RD,,,107166,,43,41,41,2014-02-18,-70.08799055834122,41.73820222829417,010800
M_322033_837334,322032.50800000,837334.04520000,BC,2277792,52,NATHANS PASTURE WAY,,,,,,,,02631,,BREWSTER,BREWSTER,MA,,52,52,,,,,,,,,NATHANS PASTURE,WAY,WAY,,,107391,,43,41,41,2014-02-18,-70.03211292051239,41.77684739470896,010900
M_319829_835451,319829.46260000,835451.99520000,BC,2281845,25,ALLERTON LANE,,THE VILLAGES AT OCEAN EDGE RESORT & GOLF CLUB,,,,,,02631,,BREWSTER,BREWSTER,MA,,25,25,,,,,,,,,ALLERTON,LANE,LN,,,107006,21141,43,41,41,2015-09-22,-70.0589899305393,41.76024303968876,010900
M_316442_835544,316442.00860000,835544.27140000,BC,2283716,100,ROBBINS HILL ROAD,,,,,,,,02631,,BREWSTER,BREWSTER,MA,,100,100,,,,,,,,,ROBBINS HILL,ROAD,RD,,,107504,,43,41,41,2014-02-18,-70.09970014215646,41.76158168700006,010800
M_320399_832079,320398.63220000,832079.18360000,BMP,2283958,221,GREENLAND POND ROAD,,,,,,,,02631,,BREWSTER,BREWSTER,MA,,221,221,,,,,,,,,GREENLAND POND,ROAD,RD,,,107259,,43,41,41,2014-02-18,-70.05283477505459,41.72979351895667,010900
M_315893_832334,315892.67800000,832334.01160000,BC,2281262,631,RUN HILL ROAD,,,,,,,,02631,,BREWSTER,BREWSTER,MA,,631,631,,,,,,,,,RUN HILL,ROAD,RD,,,107512,,43,41,41,2014-02-18,-70.1069355211054,41.7327629655177,010800
M_317469_831949,317468.96180000,831949.45460000,BC,2281758,159,ROSEMARY LANE,,,,,,,,02631,,BREWSTER,BREWSTER,MA,,159,159,,,,,,,,,ROSEMARY,LANE,LN,,,107510,,43,41,41,2014-02-18,-70.08806806927075,41.729067726071136,010800
M_315646_834968,315646.47860000,834968.44740000,BC,2283338,73,SIX PENNY LANE,,,,,,,,02631,,BREWSTER,BREWSTER,MA,,73,73,,,,,,,,,SIX PENNY,LANE,LN,,,106905,,43,41,41,2014-02-18,-70.10937815470702,41.7565151264772,010800
M_315903_832370,315903.21280000,832370.29980000,BC,2277966,615,RUN HILL ROAD,,,,,,,,02631,,BREWSTER,BREWSTER,MA,,615,615,,,,,,,,,RUN HILL,ROAD,RD,,,107512,,43,41,41,2014-02-18,-70.10680178815716,41.73308809386773,010800
M_318342_834936,318342.34460000,834936.24580000,BC,2282450,81,CONSODINE ROAD,,,,,,,,02631,,BREWSTER,BREWSTER,MA,,81,81,,,,,,,,,CONSODINE,ROAD,RD,,,107141,,43,41,41,2014-02-18,-70.07697340277595,41.755824924630865,010800
M_313311_832403,313311.39760000,832403.24160000,BC,2282473,116,LEE WAY,,,,,,,,02631,,BREWSTER,BREWSTER,MA,,116,116,,,,,,,,,LEE,WAY,WAY,,,107544,,43,41,41,2014-02-18,-70.13794465797885,41.73376152390404,010800
M_320827_835180,320827.98720000,835180.37480000,BC,2283994,247,FLETCHER LANE,,THE VILLAGES AT OCEAN EDGE RESORT & GOLF CLUB,,,,,,02631,,BREWSTER,BREWSTER,MA,,247,247,,,,,,,,,FLETCHER,LANE,LN,,,107224,21141,43,41,41,2014-02-18,-70.04704011401692,41.75764535282078,010900
M_320827_835180,320827.98720000,835180.37480000,BC,2276465,251,FLETCHER LANE,,THE VILLAGES AT OCEAN EDGE RESORT & GOLF CLUB,,,,,,02631,,BREWSTER,BREWSTER,MA,,251,251,,,,,,,,,FLETCHER,LANE,LN,,,107224,21141,43,41,41,2014-02-18,-70.04704011401692,41.75764535282078,010900
M_320189_836022,320189.79700000,836022.05620000,BC,2284896,151,VILLAGES DRIVE,,THE VILLAGES AT OCEAN EDGE RESORT & GOLF CLUB,,,C,,,02631,,BREWSTER,BREWSTER,MA,,151,151,,,,,,,,,VILLAGES,DRIVE,DR,,,106985,21141,43,41,41,2015-09-22,-70.0545413939241,41.76531995560725,010900
M_320189_836022,320189.79700000,836022.05620000,BC,2284914,155,VILLAGES DRIVE,,THE VILLAGES AT OCEAN EDGE RESORT & GOLF CLUB,,,D,,,02631,,BREWSTER,BREWSTER,MA,,155,155,,,,,,,,,VILLAGES,DRIVE,DR,,,106985,21141,43,41,41,2015-09-22,-70.0545413939241,41.76531995560725,010900
M_320827_835180,320827.98720000,835180.37480000,BC,2277511,249,FLETCHER LANE,,THE VILLAGES AT OCEAN EDGE RESORT & GOLF CLUB,,,,,,02631,,BREWSTER,BREWSTER,MA,,249,249,,,,,,,,,FLETCHER,LANE,LN,,,107224,21141,43,41,41,2014-02-18,-70.04704011401692,41.75764535282078,010900
M_320827_835180,320827.98720000,835180.37480000,BC,2276467,253,FLETCHER LANE,,THE VILLAGES AT OCEAN EDGE RESORT & GOLF CLUB,,,,,,02631,,BREWSTER,BREWSTER,MA,,253,253,,,,,,,,,FLETCHER,LANE,LN,,,107224,21141,43,41,41,2014-02-18,-70.04704011401692,41.75764535282078,010900
M_321392_836094,321392.26680000,836093.52200000,BC,2280793,206,RED FAWN ROAD,,,,,,,,02631,,BREWSTER,BREWSTER,MA,,206,206,,,,,,,,,RED FAWN,ROAD,RD,,,107494,,43,41,41,2014-02-18,-70.04006803151209,41.765778925847414,010900
M_321110_832019,321110.32460000,832019.20820000,BMP,2280809,214,OLD LONG POND ROAD,,,,,,,,02631,,BREWSTER,BREWSTER,MA,,214,214,,,,,,,,,OLD LONG POND,ROAD,RD,,,107421,,43,41,41,2014-02-18,-70.04429434608214,41.72914457666142,010900
M_313653_833828,313652.56920000,833827.62640000,BMP,2280872,330,MAIN STREET,,,,,,,,02631,,BREWSTER,BREWSTER,MA,,330,330,,,,,,,,,MAIN,STREET,ST,,,107356,,43,41,41,2014-02-18,-70.13357005343127,41.746535209924446,010800
M_318475_836526,318474.84100000,836526.27380000,BC,2284281,51,STUART STREET,,,,,,,,02631,,BREWSTER,BREWSTER,MA,,51,51,,,,,,,,,STUART,STREET,ST,,,106941,,43,41,41,2014-02-18,-70.07506109683786,41.770118825935114,010800
M_321431_836563,321431.15960000,836563.34340000,BC,2279577,169,KING PHILIP ROAD,,,,,,,,02631,,BREWSTER,BREWSTER,MA,,169,169,,,,,,,,,KING PHILIP,ROAD,RD,,,107322,,43,41,41,2014-02-18,-70.03950363666335,41.77000234582363,010900
M_320827_835180,320827.98720000,835180.37480000,BC,2279659,255,FLETCHER LANE,,THE VILLAGES AT OCEAN EDGE RESORT & GOLF CLUB,,,,,,02631,,BREWSTER,BREWSTER,MA,,255,255,,,,,,,,,FLETCHER,LANE,LN,,,107224,21141,43,41,41,2014-02-18,-70.04704011401692,41.75764535282078,010900
M_317280_836284,317280.45400000,836284.11220000,BC,2280371,102,GOVERNOR PRENCE ROAD,,,,,,,,02631,,BREWSTER,BREWSTER,MA,,102,102,,,,,,,,,GOVERNOR PRENCE,ROAD,RD,,,107250,,43,41,41,2014-02-18,-70.08947194061894,41.76811755852538,010800
M_318538_836079,318538.25900000,836079.23380000,BC,2284613,109,OLD NORTH ROAD,,,,,,,,02631,,BREWSTER,BREWSTER,MA,,109,109,,,,,,,,,OLD NORTH,ROAD,RD,,,107424,,43,41,41,2014-02-18,-70.07438834438867,41.76608492529032,010800
M_319632_833490,319631.65100000,833489.76340000,BC,2276779,46,HOWES ROAD,,,,,,,,02631,,BREWSTER,BREWSTER,MA,,46,46,,,,,,,,,HOWES,ROAD,RD,,,107299,,43,41,41,2014-02-18,-70.06176610847109,41.74260865962716,010900
M_320708_837193,320707.89760000,837192.61260000,BC,2282404,95,BONNIE DOONE CARTWAY,,,,,,,,02631,,BREWSTER,BREWSTER,MA,,95,95,,,,,,,,,BONNIE DOONE,CARTWAY,CRTWY,,,107061,,43,41,41,2014-02-18,-70.04807206511782,41.775778308903924,010800
M_323146_836606,323146.14680000,836605.99280000,BC,2283894,20,LAUREL LANE,,,,,,,,02631,,BREWSTER,BREWSTER,MA,,20,20,,,,,,,,,LAUREL,LANE,LN,,,107335,,43,41,41,2014-02-18,-70.01887207772411,41.770120038913824,010900
M_317113_834860,317113.30100000,834860.14200000,BC,2279194,4,ALDEN DRIVE,,,,,,,,02631,,BREWSTER,BREWSTER,MA,,4,4,,,,,,,,,ALDEN,DRIVE,DR,,,107003,,43,41,41,2014-02-18,-70.09176464334831,41.755323463889816,010800
M_319256_834362,319255.50320000,834362.37300000,BC,2281200,7,HEMLOCK HOLLOW ROAD,,,,,,,,02631,,BREWSTER,BREWSTER,MA,,7,7,,,,,,,,,HEMLOCK HOLLOW,ROAD,RD,,,107277,,43,41,41,2014-02-18,-70.0661110345434,41.75052110399181,010900
M_321046_834559,321045.81020000,834558.62220000,BC,2281364,836,MILLSTONE ROAD,,,,,,,,02631,,BREWSTER,BREWSTER,MA,,836,836,,,,,,,,,MILLSTONE,ROAD,RD,,,107547,,43,41,41,2014-02-18,-70.04454885908893,41.75201478319803,010900
M_319952_835964,319952.46400000,835963.56600000,BMP,2279260,102,THAD ELLIS ROAD,,,,,,,,02631,,BREWSTER,BREWSTER,MA,,102,102,,,,,,,,,THAD ELLIS,ROAD,RD,,,106957,,43,41,41,2014-02-18,-70.05740702239905,41.76482958868332,010800
M_321353_836390,321353.26860000,836389.53300000,BC,2278041,94,KING PHILIP ROAD,,,,,,,,02631,,BREWSTER,BREWSTER,MA,,94,94,,,,,,,,,KING PHILIP,ROAD,RD,,,107322,,43,41,41,2014-02-18,-70.04047604420484,41.768449677638735,010900
M_315834_832619,315833.99280000,832618.69960000,BMP,2282127,514,RUN HILL ROAD,,,,,,,,02631,,BREWSTER,BREWSTER,MA,,514,514,,,,,,,,,RUN HILL,ROAD,RD,,,107512,,43,41,41,2014-02-18,-70.10758495128086,41.73533444098206,010800
M_314502_832701,314501.94900000,832700.99300000,BC,2279951,583,SATUCKET ROAD,,,,,,,,02631,,BREWSTER,BREWSTER,MA,,583,583,,,,,,,,,SATUCKET,ROAD,RD,,,106882,,43,41,41,2014-02-18,-70.12357840038979,41.73626992033868,010800
M_319321_836122,319320.66240000,836121.74300000,BC,2278616,21,FOSTER ROAD,,,,,,,,02631,,BREWSTER,BREWSTER,MA,,21,21,,,,,,,,,FOSTER,ROAD,RD,,,107228,,43,41,41,2014-02-18,-70.06497186473821,41.76634948216533,010800
M_320189_836022,320189.79700000,836022.05620000,BC,2284921,157,VILLAGES DRIVE,,THE VILLAGES AT OCEAN EDGE RESORT & GOLF CLUB,,,C,,,02631,,BREWSTER,BREWSTER,MA,,157,157,,,,,,,,,VILLAGES,DRIVE,DR,,,106985,21141,43,41,41,2015-09-22,-70.0545413939241,41.76531995560725,010900
M_320189_836022,320189.79700000,836022.05620000,BC,2284922,157,VILLAGES DRIVE,,THE VILLAGES AT OCEAN EDGE RESORT & GOLF CLUB,,,D,,,02631,,BREWSTER,BREWSTER,MA,,157,157,,,,,,,,,VILLAGES,DRIVE,DR,,,106985,21141,43,41,41,2015-09-22,-70.0545413939241,41.76531995560725,010900
M_317814_835742,317814.16420000,835742.16400000,BC,2280171,9,THE CHANNEL WAY,,,,,,,,02631,,BREWSTER,BREWSTER,MA,,9,9,,,,,,,,,THE CHANNEL,WAY,WAY,,,106958,,43,41,41,2014-02-18,-70.08316246346043,41.76315916281351,010800
M_313101_832925,313100.55220000,832925.14760000,BC,2278955,65,WAGON WHEEL LANE,,,,,,,,02631,,BREWSTER,BREWSTER,MA,,65,65,,,,,,,,,WAGON WHEEL,LANE,LN,,,106987,,43,41,41,2014-02-18,-70.14037869528177,41.73849019484582,010800
M_321706_833254,321706.48440000,833254.25300000,BC,2279654,25,THOUSAND OAKS DRIVE,,,,,,,,02631,,BREWSTER,BREWSTER,MA,,25,25,,,,,,,,,THOUSAND OAKS,DRIVE,DR,,,106961,,43,41,41,2014-02-18,-70.03687549061155,41.74017084806048,010900
M_322008_837882,322008.03760000,837881.73980000,BC,2280593,125,HILLBOURNE TERRACE,,,,,,,,02631,,BREWSTER,BREWSTER,MA,,125,125,,,,,,,,,HILLBOURNE,TERRACE,TER,,,107288,,43,41,41,2014-02-18,-70.0322938580357,41.78178161829788,010900
M_323308_836840,323307.82940000,836840.33880000,BC,2278915,46,PELLS FISHING ROAD,,,,,,,,02631,,BREWSTER,BREWSTER,MA,,46,46,,,,,,,,,PELLS FISHING,ROAD,RD,,,107448,,43,41,41,2014-02-18,-70.01687884393134,41.772204359459614,010900
M_320189_836022,320189.79700000,836022.05620000,BC,2284894,151,VILLAGES DRIVE,,THE VILLAGES AT OCEAN EDGE RESORT & GOLF CLUB,,,A,,,02631,,BREWSTER,BREWSTER,MA,,151,151,,,,,,,,,VILLAGES,DRIVE,DR,,,106985,21141,43,41,41,2015-09-22,-70.0545413939241,41.76531995560725,010900
M_320189_836022,320189.79700000,836022.05620000,BC,2284898,151,VILLAGES DRIVE,,THE VILLAGES AT OCEAN EDGE RESORT & GOLF CLUB,,,E,,,02631,,BREWSTER,BREWSTER,MA,,151,151,,,,,,,,,VILLAGES,DRIVE,DR,,,106985,21141,43,41,41,2015-09-22,-70.0545413939241,41.76531995560725,010900
M_320189_836022,320189.79700000,836022.05620000,BC,2284903,153,VILLAGES DRIVE,,THE VILLAGES AT OCEAN EDGE RESORT & GOLF CLUB,,,B,,,02631,,BREWSTER,BREWSTER,MA,,153,153,,,,,,,,,VILLAGES,DRIVE,DR,,,106985,21141,43,41,41,2015-09-22,-70.0545413939241,41.76531995560725,010900
M_318733_836817,318733.41960000,836816.53760000,BMP,2279830,40,SWIFT LANE,,,,,,,,02631,,BREWSTER,BREWSTER,MA,,40,40,,,,,,,,,SWIFT,LANE,LN,,,107519,,43,41,41,2014-02-18,-70.07189321495349,41.77269291409026,010800
M_320189_836022,320189.79700000,836022.05620000,BC,2284906,153,VILLAGES DRIVE,,THE VILLAGES AT OCEAN EDGE RESORT & GOLF CLUB,,,E,,,02631,,BREWSTER,BREWSTER,MA,,153,153,,,,,,,,,VILLAGES,DRIVE,DR,,,106985,21141,43,41,41,2015-09-22,-70.0545413939241,41.76531995560725,010900
M_320189_836022,320189.79700000,836022.05620000,BC,2284913,155,VILLAGES DRIVE,,THE VILLAGES AT OCEAN EDGE RESORT & GOLF CLUB,,,C,,,02631,,BREWSTER,BREWSTER,MA,,155,155,,,,,,,,,VILLAGES,DRIVE,DR,,,106985,21141,43,41,41,2015-09-22,-70.0545413939241,41.76531995560725,010900
M_320189_836022,320189.79700000,836022.05620000,BC,2284915,155,VILLAGES DRIVE,,THE VILLAGES AT OCEAN EDGE RESORT & GOLF CLUB,,,E,,,02631,,BREWSTER,BREWSTER,MA,,155,155,,,,,,,,,VILLAGES,DRIVE,DR,,,106985,21141,43,41,41,2015-09-22,-70.0545413939241,41.76531995560725,010900
M_321824_837472,321824.14940000,837472.44140000,BMP,2281252,62,WEATHERVANE WAY,,,,,,,,02631,,BREWSTER,BREWSTER,MA,,62,62,,,,,,,,,WEATHERVANE,WAY,WAY,,,107562,,43,41,41,2014-02-18,-70.03459010335978,41.77812551443469,010900
M_317915_834723,317914.66620000,834723.40420000,BC,2277534,261,HARWICH ROAD,,,,,,,,02631,,BREWSTER,BREWSTER,MA,,261,261,,,,,,,,,HARWICH,ROAD,RD,,,90848,,43,41,41,2014-02-18,-70.08215768074068,41.7539729923071,010800
M_318864_836100,318863.78120000,836099.75260000,BC,2277727,42,SKIPJACK WAY,,,,,,,,02631,,BREWSTER,BREWSTER,MA,,42,42,,,,,,,,,SKIPJACK,WAY,WAY,,,106907,,43,41,41,2014-02-18,-70.07047001730393,41.766220590172715,010800
M_321460_834896,321460.07660000,834895.71740000,BMP,2280328,46,CLIFF POND ROAD,,,,,,,,02631,,BREWSTER,BREWSTER,MA,,46,46,,,,,,,,,CLIFF POND,ROAD,RD,,,107129,,43,41,41,2014-02-18,-70.03949930888054,41.754985624648995,010900
M_320951_835766,320951.45460000,835765.64500000,BC,2281958,33,SANDPIPER LANE,,,,,,,,02631,,BREWSTER,BREWSTER,MA,,33,33,,,,,,,,,SANDPIPER,LANE,LN,,,106879,,43,41,41,2014-02-18,-70.04543569632715,41.76289512047201,010900
M_320189_836022,320189.79700000,836022.05620000,BC,2284895,151,VILLAGES DRIVE,,THE VILLAGES AT OCEAN EDGE RESORT & GOLF CLUB,,,B,,,02631,,BREWSTER,BREWSTER,MA,,151,151,,,,,,,,,VILLAGES,DRIVE,DR,,,106985,21141,43,41,41,2015-09-22,-70.0545413939241,41.76531995560725,010900
M_319267_836067,319267.39140000,836066.64620000,BMP,2278579,2449,MAIN STREET,,,,,,,,02631,,BREWSTER,BREWSTER,MA,,2449,2449,,,,,,,,,MAIN,STREET,ST,,,107356,,43,41,41,2014-02-18,-70.06562355777103,41.765861555627644,010800
M_318610_836669,318610.20400000,836669.16280000,BMP,2277918,67,ROBINSON ROAD,,,,,,,,02631,,BREWSTER,BREWSTER,MA,,67,67,,,,,,,,,ROBINSON,ROAD,RD,,,107507,,43,41,41,2014-02-18,-70.07340460057125,41.77138477540464,010800
M_319258_836758,319257.68340000,836757.84160000,BC,2278095,84,GRANDFATHERS LANE,,,,,,,,02631,,BREWSTER,BREWSTER,MA,,84,84,,,,,,,,,GRANDFATHERS,LANE,LN,,,107253,,43,41,41,2014-02-18,-70.06560051035702,41.772085318949024,010800
M_319267_836067,319267.39140000,836066.64620000,BMP,2280761,2443-2449,MAIN STREET,,,,,,,,02631,,BREWSTER,BREWSTER,MA,,2443,2443,,,2449,2449,,,,,MAIN,STREET,ST,,,107356,,43,41,41,2014-08-01,-70.06562355777103,41.765861555627644,010800
M_322126_837748,322126.07520000,837748.17420000,BC,2282377,90,HILLBOURNE TERRACE,,,,,,,,02631,,BREWSTER,BREWSTER,MA,,90,90,,,,,,,,,HILLBOURNE,TERRACE,TER,,,107288,,43,41,41,2014-02-18,-70.03090186625478,41.78056094539487,010900
M_318125_831796,318124.88160000,831795.86980000,BC,2281221,72,WINSTEAD ROAD,,,,,,,,02631,,BREWSTER,BREWSTER,MA,,72,72,,,,,,,,,WINSTEAD,ROAD,RD,,,107585,,43,41,41,2014-02-18,-70.08021634167233,41.727587090427484,010900
M_314685_833342,314685.35860000,833342.42780000,BC,2280408,118,DILLINGHAM ROAD,,,,,,,,02631,,BREWSTER,BREWSTER,MA,,118,118,,,,,,,,,DILLINGHAM,ROAD,RD,,,107181,,43,41,41,2014-02-18,-70.12124940094905,41.74201765929214,010800
M_320827_835180,320827.98720000,835180.37480000,BC,2282943,257,FLETCHER LANE,,THE VILLAGES AT OCEAN EDGE RESORT & GOLF CLUB,,,,,,02631,,BREWSTER,BREWSTER,MA,,257,257,,,,,,,,,FLETCHER,LANE,LN,,,107224,21141,43,41,41,2014-02-18,-70.04704011401692,41.75764535282078,010900
